close,date,high,low,open,volume
5568.75,2024-07-02,5569.75,5502.75,5533.5,1315097
5590.25,2024-07-03,5595.75,5559.75,5563.75,808966
5621.5,2024-07-05,5626.0,5585.0,5591.0,1233173
5625.25,2024-07-08,5637.5,5610.75,5612.0,981186
5631.25,2024-07-09,5645.75,5626.25,5627.75,1063568
5688.0,2024-07-10,5690.5,5630.75,5631.75,1200224
5639.75,2024-07-11,5707.75,5630.0,5684.25,1970766
5664.75,2024-07-12,5708.25,5621.25,5638.5,1684437
5683.0,2024-07-15,5718.75,5665.5,5681.0,1701349
5717.25,2024-07-16,5721.25,5673.0,5688.75,1485113
5639.0,2024-07-17,5717.75,5631.75,5715.0,2059862
5594.5,2024-07-18,5664.0,5570.25,5644.0,2528379
5553.75,2024-07-19,5607.5,5542.0,5602.5,2106581
5610.75,2024-07-22,5616.0,5553.5,5564.5,1671918
5599.25,2024-07-23,5629.75,5587.75,5607.75,1385653
5472.0,2024-07-24,5585.0,5462.0,5585.0,2178690
5441.25,2024-07-25,5533.25,5432.5,5482.5,2888086
5499.0,2024-07-26,5528.25,5445.25,5446.0,1977698
5503.0,2024-07-29,5534.5,5481.0,5496.5,1697647
5472.5,2024-07-30,5527.5,5433.0,5504.5,2053956
5558.0,2024-07-31,5588.5,5451.5,5454.75,2156505
5480.25,2024-08-01,5600.75,5444.75,5574.75,2751690
5376.0,2024-08-02,5473.25,5331.75,5464.25,3239738
5217.5,2024-08-05,5345.5,5120.0,5330.0,3436090
5266.25,2024-08-06,5342.0,5221.75,5250.0,2172067
5227.5,2024-08-07,5359.25,5196.75,5241.5,2247229
5348.25,2024-08-08,5361.0,5182.0,5208.25,1912347
5370.25,2024-08-09,5385.25,5319.5,5348.25,1412017
5369.75,2024-08-12,5396.75,5347.75,5364.25,1219995
5459.0,2024-08-13,5461.25,5367.5,5372.5,1271171
5477.0,2024-08-14,5487.75,5438.75,5457.5,1301826
5567.5,2024-08-15,5571.75,5471.75,5481.25,1440377
5578.25,2024-08-16,5586.25,5536.5,5568.5,1183498
5630.0,2024-08-19,5631.75,5565.25,5584.0,1010612
5619.75,2024-08-20,5643.75,5607.75,5629.5,1020393
5641.5,2024-08-21,5655.25,5613.5,5619.5,1086814
5594.0,2024-08-22,5665.25,5582.75,5642.0,1409474
5652.5,2024-08-23,5662.25,5597.75,5597.75,1415472
5637.0,2024-08-26,5669.0,5619.75,5650.5,1090361
5644.75,2024-08-27,5649.5,5611.5,5630.0,1027658
5610.25,2024-08-28,5650.5,5576.0,5643.75,1381099
5610.0,2024-08-29,5663.75,5561.25,5580.5,1571688
5661.0,2024-08-30,5665.0,5594.25,5618.5,1558874
5541.75,2024-09-03,5669.75,5516.75,5656.25,1910577
5530.0,2024-09-04,5565.0,5506.75,5538.5,1749591
5512.25,2024-09-05,5557.25,5490.0,5527.5,1737210
5419.5,2024-09-06,5532.5,5394.0,5513.0,2377532
5479.5,2024-09-09,5493.0,5405.25,5410.0,2377532
5504.0,2024-09-10,5506.0,5448.25,5488.25,1525620
5561.25,2024-09-11,5567.5,5412.0,5499.25,2309139
5602.25,2024-09-12,5607.0,5540.25,5558.0,1726434
5629.75,2024-09-13,5641.5,5597.25,5598.5,1706322
5638.0,2024-09-16,5641.5,5609.25,5622.75,1588010
5639.0,2024-09-17,5675.5,5617.0,5633.25,1056184
5620.75,2024-09-18,5696.25,5613.75,5639.5,605651
5717.75,2024-09-19,5737.5,5631.5,5631.5,461433
5699.990234375,2024-09-20,5717.25,5699.25,5714.75,1623655
5776.75,2024-09-23,5784.5,5745.25,5762.0,1077941
5792.0,2024-09-24,5794.25,5754.75,5774.0,1181221
5779.0,2024-09-25,5798.75,5768.0,5792.25,1043665
5804.5,2024-09-26,5830.0,5778.25,5783.5,1360026
5791.25,2024-09-27,5821.5,5782.0,5804.25,1280272
5814.25,2024-09-30,5820.25,5756.25,5784.0,1502729
5759.75,2024-10-01,5822.5,5733.0,5807.0,1947177
5760.25,2024-10-02,5773.25,5724.0,5760.25,1250353
5749.5,2024-10-03,5772.75,5725.75,5769.5,1421429
5800.0,2024-10-04,5804.75,5741.0,5745.75,1460645
5744.75,2024-10-07,5808.0,5734.25,5802.0,1211368
5800.5,2024-10-08,5806.75,5725.25,5752.5,1172261
