call_gex,call_oi,net_gex,put_gex,put_oi,strike
3272.59,264.0,-38747.68,-42020.27,7674.0,204.78
15259.35,840.0,-87043.09,-102302.44,11104.0,205.0
2985.83,231.0,-311.46,-3297.29,505.0,209.78
2129.79,141.0,-48807.51,-50937.3,5220.0,210.0
360.94,27.0,-1025.84,-1386.78,200.0,214.78
6133.57,141.0,-20621.02,-26754.59,2283.0,215.0
825.98,51.0,-279.67,-1105.65,147.0,219.78
2421.35,113.0,-31918.43,-34339.77,3501.0,220.0
87.08,6.0,-1872.41,-1959.5,241.0,224.78
2287.21,117.0,-52710.34,-54997.55,1682.0,225.0
157.6,9.0,-3407.83,-3565.43,407.0,229.78
1819.96,43.0,-16416.17,-18236.12,1368.0,230.0
0.0,0.0,-21056.9,-21056.9,2236.0,234.78
2629.83,57.0,-10470.96,-13100.78,577.0,235.0
171.18,9.0,-3653.89,-3825.07,379.0,239.78
6964.02,285.0,-31774.35,-38738.37,1494.0,240.0
790.68,40.0,-6031.2,-6821.88,632.0,244.78
35170.24,698.0,18776.72,-16393.52,1162.0,245.0
2042.78,99.0,-5257.14,-7299.93,633.0,249.78
11095.94,381.0,-586686.36,-597782.3,16809.0,250.0
2843.9,132.0,-5457.09,-8300.99,666.0,254.78
2306.92,55.0,-45582.84,-47889.76,2785.0,255.0
1146.92,51.0,-17185.96,-18332.88,1383.0,259.78
1303.32,35.0,-66973.37,-68276.7,3544.0,260.0
822.78,41.0,-4307.31,-5130.09,360.0,264.78
2989.88,84.0,-31080.33,-34070.21,1438.0,265.0
2688.15,124.0,-52362.61,-55050.76,3606.0,269.78
1543.89,41.0,-25989.2,-27533.09,1750.0,270.0
1320.77,52.0,-7919.45,-9240.22,559.0,274.78
3789.53,171.0,-45632.63,-49422.16,1882.0,275.0
1066.42,44.0,-6253.15,-7319.57,415.0,279.78
1470.19,45.0,-109323.01,-110793.19,3973.0,280.0
643.33,23.0,-71940.52,-72583.85,3826.0,284.78
4107.39,100.0,-143447.55,-147554.94,4196.0,285.0
546.17,19.0,-9226.92,-9773.09,485.0,289.78
3282.32,86.0,-140126.9,-143409.21,4459.0,290.0
1571.34,57.0,-60096.59,-61667.92,2858.0,294.78
9775.86,236.0,-76756.22,-86532.08,2909.0,295.0
3525.67,122.0,-52519.86,-56045.54,2433.0,299.78
53083.46,1055.0,-719309.14,-772392.6,20727.0,300.0
3746.39,123.0,-6218.92,-9965.31,402.0,304.78
5459.97,108.0,-169182.23,-174642.19,3991.0,305.0
2251.37,68.0,-11104.88,-13356.25,503.0,309.78
9181.48,163.0,-163724.95,-172906.43,4519.0,310.0
2443.39,47.0,-22978.25,-25421.64,489.0,314.78
9862.46,226.0,-212812.82,-222675.28,8717.0,315.0
1039.74,20.0,-115411.1,-116450.84,2240.0,319.78
33776.92,524.0,-145409.29,-179186.21,5754.0,320.0
1923.52,37.0,-30620.33,-32543.85,626.0,324.78
20097.69,316.0,-225848.05,-245945.74,5874.0,325.0
1403.65,27.0,-311869.92,-313273.57,6026.0,329.78
12829.13,207.0,-190172.09,-203001.23,5180.0,330.0
5614.59,108.0,-52974.74,-58589.33,1127.0,334.78
9872.97,205.0,-154475.54,-164348.51,4152.0,335.0
1143.71,22.0,-36442.88,-37586.59,723.0,339.78
7926.22,117.0,-604582.73,-612508.95,10348.0,340.0
10293.42,198.0,-397596.45,-407889.88,7846.0,344.78
5146.69,83.0,-231450.97,-236597.66,4113.0,345.0
21990.49,423.0,-118010.45,-140000.95,2693.0,349.78
31420.26,461.0,-5576981.53,-5608401.79,58298.0,350.0
1091.73,21.0,-39718.06,-40809.78,785.0,354.78
12746.06,307.0,-211189.05,-223935.1,3781.0,355.0
5458.63,105.0,-123157.17,-128615.8,2474.0,359.78
47046.78,785.0,-347645.2,-394691.99,6870.0,360.0
1403.65,27.0,-33479.62,-34883.27,671.0,364.78
13043.73,227.0,-958179.97,-971223.71,12055.0,365.0
2651.34,51.0,-207688.0,-210339.34,4046.0,369.78
37033.29,559.0,-552149.11,-589182.4,7726.0,370.0
3535.11,68.0,-103194.16,-106729.28,2053.0,374.78
9656.71,141.0,-580540.22,-590196.93,7662.0,375.0
5458.63,105.0,-260506.78,-265965.41,5116.0,379.78
20357.56,227.0,-2116818.5,-2137176.06,20748.0,380.0
1611.6,31.0,-19599.09,-21210.69,408.0,384.78
14050.01,174.0,-739656.84,-753706.85,6362.0,385.0
2391.4,46.0,-59109.2,-61500.6,1183.0,389.78
35891.0,378.0,-2493190.45,-2529081.44,26063.0,390.0
3119.22,60.0,-39354.15,-42473.37,817.0,394.78
27582.85,250.0,-566596.62,-594179.47,7289.0,395.0
25681.57,247.0,-358086.35,-383767.92,3691.0,399.78
325607.19,3133.0,-13462320.08,-13787927.28,126328.0,400.0
8629.84,83.0,-138285.38,-146915.22,1413.0,404.78
