call_gex,call_oi,net_gex,put_gex,put_oi,strike
3353.91,237.0,-58245.72,-61599.63,6464.0,204.78
8921.83,450.0,-88894.18,-97816.01,9232.0,205.0
3573.17,236.0,-1741.32,-5314.48,509.0,209.78
1631.71,83.0,-69072.87,-70704.59,5192.0,210.0
434.54,27.0,-12420.48,-12855.02,1144.0,214.78
3941.18,96.0,-30550.31,-34491.5,2124.0,215.0
862.12,51.0,-881.17,-1743.29,143.0,219.78
2159.76,94.0,-41096.2,-43255.97,2586.0,220.0
107.48,6.0,-2915.23,-3022.71,241.0,224.78
1664.95,43.0,-30493.59,-32158.54,1192.0,225.0
170.64,9.0,-5451.92,-5622.55,408.0,229.78
1833.83,40.0,-16297.59,-18131.42,794.0,230.0
0.0,0.0,-32885.79,-32885.79,2236.0,234.78
1859.81,41.0,-13017.53,-14877.35,597.0,235.0
185.7,9.0,-5871.82,-6057.52,376.0,239.78
6991.52,236.0,-30814.31,-37805.84,1150.0,240.0
882.15,40.0,-9914.07,-10796.22,639.0,244.78
1577.33,44.0,-14954.65,-16531.98,605.0,245.0
2318.28,99.0,-8576.44,-10894.72,600.0,249.78
11665.68,330.0,-635340.42,-647006.1,16555.0,250.0
3254.83,132.0,-5610.76,-8865.6,461.0,254.78
2345.43,53.0,-50584.43,-52929.86,2286.0,255.0
1322.41,51.0,-26692.8,-28015.21,1364.0,259.78
1364.93,35.0,-99914.25,-101279.18,3758.0,260.0
1136.21,41.0,-6763.7,-7899.91,358.0,264.78
3048.2,75.0,-33962.78,-37010.98,1024.0,265.0
3606.84,124.0,-80683.98,-84290.83,3598.0,269.78
1703.92,43.0,-31375.41,-33079.33,1270.0,270.0
1596.57,52.0,-13222.7,-14819.27,594.0,274.78
4272.18,125.0,-52077.84,-56350.02,1370.0,275.0
1385.9,44.0,-9155.8,-10541.7,395.0,279.78
1984.84,46.0,-121831.53,-123816.37,3172.0,280.0
1242.67,23.0,-206067.05,-207309.72,3837.0,284.78
4020.14,84.0,-98371.22,-102391.36,2310.0,285.0
1026.55,19.0,-23286.55,-24313.1,450.0,289.78
4087.29,85.0,-148913.76,-153001.05,3617.0,290.0
3079.66,57.0,-151389.58,-154469.24,2859.0,294.78
10029.95,217.0,-86594.56,-96624.51,2139.0,295.0
6645.58,123.0,-117243.18,-123888.76,2293.0,299.78
48351.93,913.0,-884942.9,-933294.83,25897.0,300.0
6645.58,123.0,-15074.12,-21719.7,402.0,304.78
4858.92,92.0,-178374.42,-183233.34,5825.0,305.0
3673.98,68.0,-23394.61,-27068.59,501.0,309.78
9293.69,150.0,-149081.12,-158374.81,5144.0,310.0
2539.37,47.0,-25879.95,-28419.31,526.0,314.78
10515.26,206.0,-247631.17,-258146.43,8373.0,315.0
1080.58,20.0,-105248.72,-106329.3,1968.0,319.78
36156.74,528.0,-138876.58,-175033.32,4976.0,320.0
1999.08,37.0,-31715.09,-33714.17,624.0,324.78
20930.97,271.0,-253736.12,-274667.08,6182.0,325.0
1458.79,27.0,-303697.66,-305156.44,5648.0,329.78
13887.75,198.0,-208773.07,-222660.82,4818.0,330.0
5835.14,108.0,-54947.61,-60782.75,1125.0,334.78
12168.68,207.0,-180038.15,-192206.84,3580.0,335.0
1188.64,22.0,-37874.41,-39063.05,723.0,339.78
9159.13,121.0,-634262.98,-643422.11,9115.0,340.0
10697.76,198.0,-413538.85,-424236.61,7852.0,344.78
5531.81,69.0,-248036.91,-253568.72,4232.0,345.0
