call_gex,call_oi,net_gex,put_gex,put_oi,strike
2509.88,264.0,-46463.96,-48973.84,9375.0,204.78
12607.52,738.0,-86224.22,-98831.74,11376.0,205.0
2224.66,231.0,-566.1,-2790.76,515.0,209.78
1914.8,132.0,-40091.79,-42006.59,5182.0,210.0
280.87,27.0,-930.84,-1211.71,202.0,214.78
3109.69,141.0,-28561.25,-31670.94,2665.0,215.0
564.8,51.0,-435.74,-1000.54,152.0,219.78
2094.4,101.0,-33236.98,-35331.38,3565.0,220.0
77.59,6.0,-1933.21,-2010.8,272.0,224.78
1736.41,47.0,-51731.66,-53468.07,1691.0,225.0
109.98,9.0,-3482.68,-3592.66,428.0,229.78
1738.14,42.0,-23307.64,-25045.79,1727.0,230.0
0.0,0.0,-20278.31,-20278.31,2234.0,234.78
2515.53,55.0,-10139.95,-12655.48,574.0,235.0
121.18,9.0,-3584.12,-3705.3,379.0,239.78
5974.02,233.0,-24868.9,-30842.92,2207.0,240.0
564.48,40.0,-6182.36,-6746.85,632.0,244.78
33987.41,685.0,18054.07,-15933.35,1167.0,245.0
1464.73,99.0,-6015.52,-7480.25,655.0,249.78
9799.72,330.0,-571855.02,-581654.74,16823.0,250.0
2067.05,132.0,-6054.12,-8121.18,666.0,254.78
2100.84,44.0,-45476.61,-47577.45,2795.0,255.0
835.6,51.0,-17658.58,-18494.18,1423.0,259.78
1193.26,33.0,-66211.99,-67405.25,3601.0,260.0
709.73,41.0,-11068.84,-11778.57,840.0,264.78
2609.48,72.0,-37516.46,-40125.93,1926.0,265.0
2365.6,124.0,-52045.75,-54411.35,3606.0,269.78
1380.77,40.0,-33470.24,-34851.02,2288.0,270.0
1010.99,52.0,-7934.77,-8945.76,559.0,274.78
2825.03,122.0,-89313.61,-92138.64,4594.0,275.0
893.63,44.0,-6297.91,-7191.54,415.0,279.78
1261.51,31.0,-105349.65,-106611.16,3985.0,280.0
488.01,23.0,-70344.07,-70832.08,3826.0,284.78
3753.41,85.0,-171991.53,-175744.94,4827.0,285.0
472.28,19.0,-9750.12,-10222.4,518.0,289.78
