call_gex,call_oi,net_gex,put_gex,put_oi,strike
2755.49,264.0,-35305.58,-38061.07,9050.0,204.78
12418.63,738.0,-72191.0,-84609.64,11450.0,205.0
2524.84,231.0,173.01,-2351.83,515.0,209.78
1829.74,145.0,-31652.14,-33481.87,5183.0,210.0
302.67,27.0,-699.95,-1002.62,222.0,214.78
2674.17,141.0,-17679.36,-20353.53,2664.0,215.0
605.03,51.0,-327.02,-932.04,182.0,219.78
2194.79,101.0,-27396.67,-29591.46,3565.0,220.0
74.47,6.0,-1475.52,-1549.99,292.0,224.78
1862.34,117.0,-52917.49,-54779.83,1693.0,225.0
114.56,9.0,-2429.06,-2543.62,428.0,229.78
1786.47,42.0,-24802.52,-26589.0,1848.0,230.0
0.0,0.0,-15423.0,-15423.0,2264.0,234.78
2574.77,55.0,-9795.51,-12370.28,574.0,235.0
124.02,9.0,-2850.22,-2974.25,409.0,239.78
6252.41,285.0,-25218.05,-31470.46,2207.0,240.0
587.74,40.0,-4687.67,-5275.4,662.0,244.78
16293.5,685.0,2922.69,-13370.81,1166.0,245.0
1505.39,99.0,-4047.66,-5553.05,655.0,249.78
8714.7,330.0,-432697.08,-441411.78,16958.0,250.0
2116.26,132.0,-3570.32,-5686.57,666.0,254.78
2152.3,44.0,-44382.86,-46535.16,2824.0,255.0
845.92,51.0,-12076.63,-12922.55,1423.0,259.78
1230.45,33.0,-57430.71,-58661.15,3612.0,260.0
722.4,41.0,-9072.55,-9794.95,840.0,264.78
2688.0,72.0,-36429.43,-39117.44,1926.0,265.0
2260.77,124.0,-40447.02,-42707.79,3606.0,269.78
1425.19,41.0,-29150.06,-30575.24,2288.0,270.0
979.94,52.0,-6240.21,-7220.15,559.0,274.78
2679.84,122.0,-82096.96,-84776.8,4595.0,275.0
880.24,44.0,-5116.45,-5996.69,415.0,279.78
1206.3,30.0,-103292.22,-104498.53,3985.0,280.0
471.59,23.0,-58400.12,-58871.72,3826.0,284.78
3831.28,85.0,-172070.35,-175901.63,4834.0,285.0
419.7,19.0,-7826.84,-8246.53,518.0,289.78
2982.09,70.0,-144471.41,-147453.51,4632.0,290.0
1321.45,57.0,-48286.98,-49608.43,2858.0,294.78
8715.25,224.0,-71087.21,-79802.46,2917.0,295.0
2969.28,122.0,-42914.5,-45883.78,2433.0,299.78
47846.43,1027.0,-679061.37,-726907.8,22806.0,300.0
3139.03,123.0,-4969.23,-8108.26,402.0,304.78
5784.66,105.0,-159780.61,-165565.28,4392.0,305.0
1795.37,68.0,-8585.57,-10380.94,503.0,309.78
7955.91,163.0,-159051.69,-167007.6,4873.0,310.0
1147.56,47.0,-9964.12,-11111.68,489.0,314.78
9414.1,215.0,-129030.0,-138444.1,5677.0,315.0
588.11,20.0,-53633.28,-54221.39,2241.0,319.78
32233.97,528.0,-121690.07,-153924.05,4537.0,320.0
1154.47,37.0,-15239.61,-16394.08,626.0,324.78
19956.35,297.0,-210367.66,-230324.01,5039.0,325.0
870.54,27.0,-167481.45,-168352.0,6014.0,329.78
12182.9,175.0,-186773.65,-198956.56,5769.0,330.0
5593.43,108.0,-52826.87,-58420.31,1128.0,334.78
8978.59,154.0,-145942.31,-154920.89,3524.0,335.0
1139.4,22.0,-41122.09,-42261.5,816.0,339.78
7282.3,89.0,-512563.82,-519846.12,9421.0,340.0
10202.84,197.0,-407699.16,-417902.0,8069.0,344.78
4454.03,59.0,-225721.65,-230175.69,4278.0,345.0
21907.61,423.0,-108813.0,-130720.61,2524.0,349.78
34061.07,415.0,-5596870.32,-5630931.39,58581.0,350.0
1087.61,21.0,-39620.15,-40707.77,786.0,354.78
7780.17,299.0,-225958.84,-233739.01,3779.0,355.0
5438.06,105.0,-122641.21,-128079.27,2473.0,359.78
40185.91,776.0,-517719.91,-557905.83,8349.0,360.0
1398.36,27.0,-33405.23,-34803.59,672.0,364.78
14284.31,241.0,-1001940.69,-1016225.0,12528.0,365.0
2693.13,52.0,-205299.73,-207992.86,4016.0,369.78
35726.01,536.0,-592588.62,-628314.63,8176.0,370.0
3521.79,68.0,-102805.24,-106327.03,2053.0,374.78
9395.0,149.0,-503203.22,-512598.22,7796.0,375.0
5438.06,105.0,-258178.39,-263616.45,5090.0,379.78
18827.72,270.0,-2147954.87,-2166782.59,18875.0,380.0
1605.52,31.0,-27397.47,-29002.99,560.0,384.78
12452.42,170.0,-764278.05,-776730.47,6332.0,385.0
2382.39,46.0,-59922.25,-62304.64,1203.0,389.78
30030.83,371.0,-2402180.58,-2432211.41,26516.0,390.0
3107.46,60.0,-39205.83,-42313.29,817.0,394.78
23269.5,213.0,-555894.94,-579164.44,7081.0,395.0
12792.39,247.0,-178420.17,-191212.56,3692.0,399.78
293845.19,2374.0,-11764678.62,-12058523.81,129818.0,400.0
4298.66,83.0,-69555.38,-73854.04,1426.0,404.78
17929.94,193.0,-775044.89,-792974.83,12581.0,405.0
3418.21,66.0,-27760.0,-31178.21,602.0,409.78
33922.74,369.0,-922103.22,-956025.95,21972.0,410.0
8804.48,85.0,-228398.54,-237203.02,2290.0,414.78
24448.91,175.0,-426852.13,-451301.04,5864.0,415.0
4143.28,40.0,-49097.92,-53241.2,514.0,419.78
113096.07,796.0,-2203056.17,-2316152.24,28639.0,420.0
19059.11,184.0,-146983.0,-166042.11,1603.0,424.78
71728.68,498.0,-1513153.26,-1584881.94,33861.0,425.0
12119.11,117.0,-18644.78,-30763.88,297.0,429.78
204868.18,1838.0,-2959036.76,-3163904.94,29089.0,430.0
14190.75,137.0,-621.49,-14812.24,143.0,434.78
55520.01,394.0,-611291.75,-666811.76,5458.0,435.0
93016.73,898.0,-134035.24,-227051.97,2192.0,439.78
140146.59,1305.0,-3626930.88,-3767077.46,31979.0,440.0
143564.79,1386.0,-87941.21,-231506.0,2235.0,444.78
156667.93,795.0,-2657934.76,-2814602.69,16317.0,445.0
3314.63,32.0,-43504.48,-46819.11,452.0,449.78
443642.15,3026.0,-9894755.74,-10338397.89,81599.0,450.0
21027.17,203.0,-172360.62,-193387.79,1867.0,454.78
184864.3,928.0,-1344562.73,-1529427.02,10487.0,455.0
33560.6,216.0,-11963.73,-45524.33,293.0,459.78
151281.66,922.0,-2260225.36,-2411507.03,25329.0,460.0
21441.5,138.0,-59352.55,-80794.04,520.0,464.78
130254.49,567.0,-2263403.92,-2393658.42,12968.0,465.0
97729.71,629.0,26879.56,-70850.16,456.0,469.78
496249.15,2957.0,-3073303.99,-3569553.15,40124.0,470.0
22684.48,146.0,-156926.89,-179611.37,1156.0,474.78
216797.34,1226.0,-3136105.52,-3352902.86,22054.0,475.0
22995.23,148.0,-28588.66,-51583.89,332.0,479.78
1135363.43,5843.0,-5481033.49,-6616396.92,40898.0,480.0
87008.97,420.0,-308881.83,-395890.8,1911.0,484.78
1266757.33,4902.0,-1189821.82,-2456579.15,13235.0,485.0
176918.23,854.0,44125.98,-132792.26,641.0,489.78
361915.87,1878.0,-4898887.55,-5260803.41,29843.0,490.0
117047.78,565.0,-38118.21,-155165.99,749.0,494.78
355079.45,1402.0,-1924318.45,-2279397.9,12346.0,495.0
66706.87,322.0,-93638.22,-160345.1,774.0,499.78
3156768.17,13271.0,-27031777.39,-30188545.56,137917.0,500.0
491497.08,1898.0,-212861.22,-704358.3,2720.0,504.78
366162.73,1567.0,-2584996.58,-2951159.31,31494.0,505.0
140094.79,541.0,57747.02,-82347.77,318.0,509.78
1503600.3,5795.0,-7910406.83,-9414007.13,48217.0,510.0
24859.7,96.0,-65256.72,-90116.43,348.0,514.78
741440.69,2746.0,-4190806.45,-4932247.15,25614.0,515.0
215657.94,694.0,-31696.12,-247354.06,796.0,519.78
693275.02,2353.0,-12820045.27,-13513320.28,59624.0,520.0
77997.32,251.0,-72093.14,-150090.47,483.0,524.78
669347.55,2803.0,-12368240.73,-13037588.28,42457.0,525.0
86698.22,279.0,-49719.41,-136417.63,439.0,529.78
1960291.3,6000.0,-11239180.97,-13199472.27,58857.0,530.0
251600.93,694.0,88096.58,-163504.35,451.0,534.78
892100.86,2441.0,-9043803.7,-9935904.56,37380.0,535.0
415105.28,1145.0,213897.04,-201208.24,555.0,539.78
2892892.77,8187.0,-22044038.71,-24936931.48,82550.0,540.0
466.12,1.0,-8390.15,-8856.27,19.0,543.0
1398.36,3.0,-5127.31,-6525.67,14.0,544.0
98610.16,238.0,-163245.39,-261855.56,632.0,544.78
1594180.36,3883.0,-4525557.64,-6119738.0,22342.0,545.0
932.24,2.0,-7457.91,-8390.15,18.0,546.0
1398.36,3.0,-16314.18,-17712.54,38.0,547.0
0.0,0.0,-166870.77,-166870.77,358.0,548.0
932.24,2.0,-146154.35,-147086.59,284.0,549.0
1247128.52,3010.0,1065652.68,-181475.84,438.0,549.78
6173441.55,14410.0,-48970399.36,-55143840.91,149501.0,550.0
517.91,1.0,-13465.67,-13983.58,27.0,551.0
517.91,1.0,-5697.02,-6214.93,12.0,552.0
517.91,1.0,-61113.44,-61631.35,119.0,553.0
1035.82,2.0,-6732.84,-7768.66,15.0,554.0
62563.59,151.0,-1763226.35,-1825789.94,3917.0,554.78
1538090.65,4091.0,-8726225.89,-10264316.54,33329.0,555.0
93223.89,180.0,83383.59,-9840.3,19.0,556.0
1035.82,2.0,-114458.22,-115494.04,223.0,557.0
8804.48,17.0,-5697.02,-14501.49,28.0,558.0
1553.73,3.0,-17608.96,-19162.69,37.0,559.0
55468.22,119.0,-105343.0,-160811.22,345.0,559.78
3528265.39,10323.0,-20241030.5,-23769295.88,67442.0,560.0
3107.46,6.0,-34492.84,-37600.3,66.0,561.0
0.0,0.0,-10254.63,-10254.63,18.0,562.0
0.0,0.0,-8545.52,-8545.52,15.0,563.0
0.0,0.0,-190850.02,-190850.02,335.0,564.0
267241.83,516.0,-174535.84,-441777.67,853.0,564.78
1925539.51,4328.0,-9618858.56,-11544398.06,33453.0,565.0
2278.81,4.0,-83176.43,-85455.24,150.0,566.0
1139.4,2.0,-94570.46,-95709.86,168.0,567.0
4557.61,8.0,-2848.51,-7406.12,13.0,568.0
1139.4,2.0,-11911.94,-13051.34,21.0,569.0
447992.6,865.0,10358.21,-437634.39,845.0,569.78
6732992.08,14863.0,-29255781.0,-35988773.07,123689.0,570.0
0.0,0.0,-7457.91,-7457.91,12.0,571.0
1242.99,2.0,-10565.37,-11808.36,19.0,572.0
621.49,1.0,-15537.32,-16158.81,26.0,573.0
0.0,0.0,-18023.29,-18023.29,29.0,574.0
149831.51,263.0,-828346.08,-978177.59,1717.0,574.78
4017069.33,8395.0,-25304378.48,-29321447.81,68977.0,575.0
1294.78,3.0,-25118.66,-26413.44,70.0,576.0
1864.48,3.0,-11135.08,-12999.55,53.0,577.0
1864.48,3.0,-11756.57,-13621.05,87.0,578.0
1242.99,2.0,-6007.76,-7250.75,52.0,579.0
210064.51,338.0,-574259.18,-784323.68,1262.0,579.78
5159320.97,9749.0,-37707163.42,-42866484.39,86600.0,580.0
5645.22,10.0,-4971.94,-10617.17,37.0,581.0
2019.85,3.0,-93016.73,-95036.58,311.0,582.0
673.28,1.0,-18334.03,-19007.32,67.0,583.0
673.28,1.0,-4350.45,-5023.73,37.0,584.0
1799842.62,2896.0,1197927.02,-601915.6,894.0,584.78
5063611.11,9893.0,-17028483.42,-22092094.54,44480.0,585.0
725.07,2.0,-101562.25,-102287.33,187.0,586.0
2019.85,3.0,-18489.41,-20509.26,114.0,587.0
2693.13,4.0,-34182.09,-36875.23,278.0,588.0
1346.57,2.0,-657124.86,-658471.43,945.0,589.0
929804.75,1381.0,342701.39,-587103.36,872.0,589.78
6357921.28,12631.0,-32894361.32,-39252282.6,79349.0,590.0
0.0,0.0,-458661.55,-458661.55,756.0,591.0
0.0,0.0,-32835.53,-32835.53,95.0,592.0
725.07,1.0,-121191.06,-121916.14,205.0,593.0
2175.22,3.0,-49822.99,-51998.22,160.0,594.0
108761.21,150.0,-547431.41,-656192.62,905.0,594.78
5248867.7,10036.0,-12474185.51,-17723053.22,38215.0,595.0
828.66,2.0,-30867.47,-31696.12,137.0,596.0
2278.81,4.0,-27552.84,-29831.65,184.0,597.0
1657.31,4.0,-42209.71,-43867.02,105.0,598.0
2900.3,4.0,-109693.45,-112593.75,190.0,599.0
1110141.19,1429.0,121191.06,-988950.13,1273.0,599.78
23905402.83,37497.0,-115143419.56,-139048822.39,245551.0,600.0
90323.59,131.0,-724401.44,-814725.03,1265.0,601.0
