close,date,high,low,open,volume
110.484375,2024-06-18,110.5,110.15625,110.171875,1819290
110.546875,2024-06-20,110.828125,110.265625,110.71875,1722710
110.5,2024-06-21,110.796875,110.359375,110.453125,1435596
110.53125,2024-06-24,110.6875,110.359375,110.453125,1193239
110.59375,2024-06-25,110.78125,110.4375,110.640625,1574033
110.0625,2024-06-26,110.5625,109.96875,110.53125,1869887
110.25,2024-06-27,110.359375,109.859375,110.0,1948452
109.984375,2024-06-28,110.5,109.609375,110.234375,3146809
109.171875,2024-07-01,109.75,109.078125,109.59375,2221764
109.46875,2024-07-02,109.609375,109.21875,109.25,1719084
110.046875,2024-07-03,110.125,109.375,109.453125,1766051
110.609375,2024-07-05,110.625,109.546875,109.96875,1979719
110.59375,2024-07-08,110.640625,110.3125,110.5625,1282523
110.40625,2024-07-09,110.5625,110.21875,110.5,1622679
110.5,2024-07-10,110.625,110.3125,110.4375,1671220
111.15625,2024-07-11,111.328125,110.40625,110.484375,2754645
111.1875,2024-07-12,111.265625,110.796875,111.015625,1993977
110.984375,2024-07-15,111.203125,110.765625,111.0,1879264
111.328125,2024-07-16,111.421875,110.9375,110.9375,2198585
111.4375,2024-07-17,111.46875,111.109375,111.40625,1811339
111.21875,2024-07-18,111.421875,111.09375,111.390625,1862237
110.828125,2024-07-19,111.234375,110.78125,111.125,1573847
110.71875,2024-07-22,111.03125,110.578125,110.9375,1409017
110.875,2024-07-23,111.0,110.71875,110.75,1402604
110.671875,2024-07-24,111.140625,110.609375,110.75,2637572
110.796875,2024-07-25,111.265625,110.640625,110.640625,3055709
111.203125,2024-07-26,111.265625,110.734375,110.890625,1856623
111.34375,2024-07-29,111.515625,111.203125,111.234375,1565130
111.5625,2024-07-30,111.65625,111.25,111.328125,1781389
111.8125,2024-07-31,112.328125,111.46875,111.5625,3268894
112.734375,2024-08-01,112.8125,112.046875,112.28125,3433253
114.140625,2024-08-02,114.25,112.65625,112.75,4296366
114.078125,2024-08-05,115.109375,113.765625,114.171875,3977072
113.390625,2024-08-06,114.09375,113.21875,114.015625,2774865
112.890625,2024-08-07,113.53125,112.8125,113.515625,2615001
112.65625,2024-08-08,113.4375,112.515625,113.078125,2433664
112.953125,2024-08-09,113.15625,112.671875,112.703125,1433071
113.234375,2024-08-12,113.296875,112.78125,112.9375,1577280
113.625,2024-08-13,113.6875,113.109375,113.296875,1726759
113.765625,2024-08-14,114.0625,113.421875,113.6875,2029311
112.953125,2024-08-15,113.71875,112.796875,113.6875,2308793
113.109375,2024-08-16,113.375,112.890625,113.03125,1717942
113.21875,2024-08-19,113.359375,112.96875,113.109375,1352232
113.5625,2024-08-20,113.640625,113.109375,113.21875,1626916
113.890625,2024-08-21,114.03125,113.453125,113.640625,2634704
113.296875,2024-08-22,113.84375,113.171875,113.734375,3456441
113.703125,2024-08-23,113.8125,113.265625,113.34375,3189187
113.59375,2024-08-26,113.9375,113.5625,113.75,4044694
113.515625,2024-08-27,113.640625,113.265625,113.59375,6299327
113.53125,2024-08-28,113.71875,113.46875,113.578125,1816714
113.3125,2024-08-29,113.65625,113.1875,113.515625,361182
113.046875,2024-08-30,113.40625,112.9375,113.375,33598
113.484375,2024-09-03,113.640625,112.890625,113.0,17198
114.03125,2024-09-04,114.109375,113.53125,113.546875,8236
114.234375,2024-09-05,114.375,113.984375,114.09375,7329
114.515625,2024-09-06,114.640625,113.71875,114.234375,3050
114.515625,2024-09-09,114.5625,114.21875,114.421875,3050
114.921875,2024-09-10,114.921875,114.40625,114.421875,1342
114.78125,2024-09-11,115.203125,114.578125,115.0,1058
114.6875,2024-09-12,114.765625,114.515625,114.65625,782
114.921875,2024-09-13,115.03125,114.796875,114.9375,469
115.078125,2024-09-16,115.078125,114.921875,114.921875,2285
114.921875,2024-09-17,115.21875,114.859375,115.1875,2910
114.640625,2024-09-18,114.96875,114.53125,114.96875,405
114.328125,2024-09-19,114.859375,114.21875,114.59375,2317517
114.84375,2024-09-20,115.0,114.53125,114.90625,1884141
114.765625,2024-09-23,114.828125,114.359375,114.71875,1834960
114.84375,2024-09-24,114.90625,114.296875,114.6875,2043257
114.546875,2024-09-25,114.921875,114.46875,114.890625,1697399
114.40625,2024-09-26,114.75,114.21875,114.515625,2098994
114.734375,2024-09-27,114.78125,114.25,114.34375,1961298
114.28125,2024-09-30,114.75,114.234375,114.734375,2461714
114.6875,2024-10-01,115.015625,114.34375,114.390625,2565634
114.421875,2024-10-02,114.8125,114.21875,114.75,1824431
113.90625,2024-10-03,114.453125,113.890625,114.40625,2060271
112.84375,2024-10-04,114.046875,112.8125,113.9375,3056066
112.484375,2024-10-07,112.890625,112.421875,112.8125,2482450
112.46875,2024-10-08,112.75,112.3125,112.515625,1626785
112.203125,2024-10-09,112.65625,112.109375,112.578125,1677790
112.078125,2024-10-10,112.359375,111.6875,112.125,2695481
112.25,2024-10-11,112.3125,111.953125,112.265625,1485457
111.859375,2024-10-14,112.125,111.71875,112.09375,718242
112.4375,2024-10-15,112.484375,111.96875,112.0,1780932
112.53125,2024-10-16,112.6875,112.40625,112.4375,1540190
