call_gex,call_oi,net_gex,put_gex,put_oi,strike
46.85,4.0,-2763.24,-2810.09,666.0,185.0
360.73,25.0,-7882.41,-8243.14,1928.0,190.0
93.21,6.0,-2534.77,-2627.98,573.0,195.0
32.03,2.0,-1685.96,-1717.99,358.0,200.0
14.6,1.0,-0.04,-14.64,3.0,205.0
115.41,9.0,-1727.06,-1842.46,268.0,210.0
227.54,8.0,-5041.17,-5268.71,381.0,215.0
653.35,29.0,-5705.88,-6359.23,332.0,220.0
0.0,0.0,-1082.95,-1082.95,63.0,225.0
633.13,25.0,-159472.36,-160105.49,2929.0,230.0
926.8,28.0,-5810.99,-6737.79,340.0,235.0
676.21,13.0,-34055.48,-34731.69,1774.0,240.0
201.33,7.0,-19501.48,-19702.81,458.0,245.0
2989.29,56.0,-43695.86,-46685.15,2855.0,250.0
654.19,22.0,-14802.39,-15456.58,298.0,255.0
1145.88,31.0,-44517.86,-45663.74,831.0,260.0
511.97,18.0,-31685.53,-32197.5,599.0,265.0
455.09,12.0,-14648.16,-15103.24,328.0,270.0
284.43,5.0,-15814.32,-16098.75,421.0,275.0
13226.01,167.0,-5111.15,-18337.15,628.0,280.0
597.3,11.0,-34268.41,-34865.71,926.0,285.0
1479.04,38.0,-48901.4,-50380.44,1473.0,290.0
426.65,6.0,-70568.4,-70995.04,1061.0,295.0
3157.18,58.0,-56003.18,-59160.36,1441.0,300.0
1137.72,22.0,-36724.44,-37862.16,553.0,305.0
7537.4,85.0,-47488.15,-55025.55,1178.0,310.0
3327.83,44.0,-34317.84,-37645.67,588.0,315.0
1535.92,17.0,-92835.28,-94371.21,1447.0,320.0
11206.55,193.0,-189767.99,-200974.54,4934.0,325.0
853.29,12.0,-426533.18,-427386.47,4982.0,330.0
1223.05,13.0,-58932.76,-60155.81,3417.0,335.0
11803.85,171.0,-107784.48,-119588.34,2103.0,340.0
1934.13,17.0,-40343.76,-42277.88,485.0,345.0
81745.25,947.0,-342013.83,-423759.08,4104.0,350.0
3896.69,31.0,-73390.02,-77286.71,609.0,355.0
55662.99,618.0,-116399.36,-172062.36,1522.0,360.0
25903.07,201.0,-85920.39,-111823.46,912.0,365.0
24802.32,178.0,-320296.55,-345098.87,3388.0,370.0
98904.39,812.0,-158780.65,-257685.04,2501.0,375.0
60778.11,309.0,-826830.2,-887608.3,5916.0,380.0
10865.23,61.0,-387347.66,-398212.9,3208.0,385.0
58023.77,221.0,-1614712.2,-1672735.97,7283.0,390.0
18573.29,76.0,-383584.51,-402157.81,2641.0,395.0
110216.71,456.0,-2150053.52,-2260270.23,10761.0,400.0
96677.83,316.0,-247084.53,-343762.37,1927.0,405.0
64707.88,210.0,-856646.68,-921354.55,4488.0,410.0
0.0,0.0,-5461.06,-5461.06,16.0,412.0
0.0,0.0,-4778.43,-4778.43,14.0,413.0
0.0,0.0,-120484.64,-120484.64,353.0,414.0
33079.23,107.0,-1242106.78,-1275186.02,5534.0,415.0
0.0,0.0,-70282.71,-70282.71,988.0,416.0
0.0,0.0,-42579.2,-42579.2,391.0,417.0
0.0,0.0,-112435.27,-112435.27,662.0,418.0
0.0,0.0,-139996.56,-139996.56,1240.0,419.0
492661.59,1674.0,-2452727.14,-2945388.73,10505.0,420.0
56.89,1.0,-88628.46,-88685.34,1049.0,421.0
0.0,0.0,-144092.35,-144092.35,2041.0,422.0
0.0,0.0,-127197.2,-127197.2,1570.0,423.0
0.0,0.0,-168325.81,-168325.81,1573.0,424.0
228937.89,647.0,-1083394.72,-1312332.6,4714.0,425.0
341.32,6.0,-119375.36,-119716.68,1147.0,426.0
170.66,3.0,-93435.33,-93605.99,849.0,427.0
0.0,0.0,-109704.74,-109704.74,1212.0,428.0
426.65,1.0,-96052.09,-96478.73,979.0,429.0
307070.87,795.0,-1503682.36,-1810753.23,6756.0,430.0
0.0,0.0,-294840.37,-294840.37,1943.0,431.0
739.52,6.0,-143324.39,-144063.91,1229.0,432.0
0.0,0.0,-81517.7,-81517.7,750.0,433.0
113.77,2.0,-383753.26,-383867.03,1925.0,434.0
143864.81,358.0,-816627.61,-960492.42,2936.0,435.0
85.33,1.0,-378491.3,-378576.63,1302.0,436.0
426.65,5.0,-285027.53,-285454.17,909.0,437.0
426.65,1.0,-369446.42,-369873.06,1308.0,438.0
0.0,0.0,-311564.87,-311564.87,1233.0,439.0
129984.61,331.0,-4060153.23,-4190137.84,9112.0,440.0
455.09,1.0,-295039.47,-295494.56,893.0,441.0
0.0,0.0,-476221.52,-476221.52,1307.0,442.0
113.77,1.0,-470760.46,-470874.23,1406.0,443.0
597.3,2.0,-554013.19,-554610.49,1552.0,444.0
171511.42,455.0,-2654073.76,-2825585.18,7076.0,445.0
0.0,0.0,-630240.49,-630240.49,1444.0,446.0
0.0,0.0,-464588.33,-464588.33,982.0,447.0
0.0,0.0,-288696.68,-288696.68,951.0,448.0
0.0,0.0,-341828.24,-341828.24,843.0,449.0
1541810.91,2983.0,-3647134.97,-5188945.88,10515.0,450.0
2275.44,13.0,-448603.35,-450878.79,1062.0,451.0
0.0,0.0,-595312.46,-595312.46,1232.0,452.0
0.0,0.0,-316940.6,-316940.6,759.0,453.0
170.66,1.0,-333949.52,-334120.18,916.0,454.0
412310.05,885.0,-1237527.45,-1649837.51,3542.0,455.0
511.97,3.0,-435917.76,-436429.73,1018.0,456.0
4095.8,24.0,-366459.9,-370555.69,784.0,457.0
1479.04,5.0,-282268.55,-283747.59,558.0,458.0
199.1,1.0,-264690.76,-264889.87,584.0,459.0
1098867.72,2154.0,-6252402.03,-7351269.76,13761.0,460.0
16838.27,74.0,-663632.59,-680470.86,1083.0,461.0
455.09,2.0,-461772.47,-462227.55,816.0,462.0
7167.64,27.0,-538824.61,-545992.25,877.0,463.0
2815.86,11.0,-246117.47,-248933.33,393.0,464.0
482706.53,938.0,-1457790.22,-1940496.75,3247.0,465.0
4835.31,17.0,-569941.28,-574776.59,830.0,466.0
0.0,0.0,-725695.27,-725695.27,990.0,467.0
50344.15,177.0,-366175.47,-416519.62,686.0,468.0
1763.47,4.0,-570424.81,-572188.28,857.0,469.0
2045878.15,3104.0,-2551424.42,-4597302.57,6074.0,470.0
13311.33,39.0,-318561.85,-331873.18,429.0,471.0
11946.07,35.0,-287331.41,-299277.48,415.0,472.0
739.52,2.0,-361937.46,-362676.98,452.0,473.0
796.4,2.0,-329483.97,-330280.37,393.0,474.0
2750895.34,3517.0,-5347.29,-2756242.63,4063.0,475.0
1820.35,3.0,-529978.83,-531799.19,589.0,476.0
176119.19,387.0,-470675.13,-646794.33,696.0,477.0
3868.25,8.0,-556573.06,-560441.31,606.0,478.0
18317.31,34.0,-441492.59,-459809.9,459.0,479.0
1967346.96,2138.0,-6150376.91,-8117723.88,11195.0,480.0
23693.04,42.0,-358410.52,-382103.56,357.0,481.0
2247.0,3.0,-423345.94,-425592.94,420.0,482.0
71875.52,118.0,-375846.1,-447721.61,413.0,483.0
0.0,0.0,-168866.22,-168866.22,161.0,484.0
1552846.8,1559.0,-542493.76,-2095340.56,2664.0,485.0
18118.21,21.0,-112662.81,-130781.02,132.0,486.0
9898.17,9.0,-86808.1,-96706.28,89.0,487.0
42067.23,48.0,-42522.32,-84589.55,78.0,488.0
14477.5,14.0,-78076.1,-92553.59,81.0,489.0
2607201.19,2766.0,-7873654.3,-10480855.49,9345.0,490.0
13851.75,14.0,-175834.76,-189686.52,150.0,491.0
89367.98,92.0,-178223.98,-267591.95,224.0,492.0
65618.05,63.0,-68604.57,-134222.62,110.0,493.0
18658.62,16.0,-54155.51,-72814.14,58.0,494.0
770919.67,810.0,-7661867.56,-8432787.23,7016.0,495.0
69685.4,50.0,-5461.06,-75146.46,63.0,496.0
17464.02,13.0,-87177.86,-104641.88,97.0,497.0
16468.51,12.0,-97531.12,-113999.63,97.0,498.0
12401.16,8.0,-213180.45,-225581.61,174.0,499.0
8674638.25,6521.0,-13830106.69,-22504744.94,16058.0,500.0
192445.49,119.0,-153421.66,-345867.15,242.0,501.0
800386.65,469.0,629557.85,-170828.79,115.0,502.0
185676.05,102.0,-1124949.97,-1310626.02,768.0,503.0
9670.63,5.0,-597189.69,-606860.32,427.0,504.0
2651117.22,1697.0,-2807496.95,-5458614.17,3670.0,505.0
6485.01,3.0,-189373.64,-195858.65,107.0,506.0
507850.16,239.0,-1973689.76,-2481539.92,1173.0,507.0
1649.7,2.0,-56.89,-1706.58,2.0,507.5
48523.8,26.0,-1521275.04,-1569798.84,676.0,508.0
2588.32,1.0,-1443568.71,-1446157.02,1204.0,509.0
7455968.52,3942.0,-26385795.33,-33841763.85,15084.0,510.0
21588.25,17.0,-949570.3,-971158.55,389.0,511.0
10580.8,4.0,-671795.74,-682376.55,268.0,512.0
10154.16,7.0,-46049.25,-56203.41,38.0,512.5
47698.95,34.0,-4899509.68,-4947208.63,2320.0,513.0
8020.93,6.0,-674526.27,-682547.2,557.0,514.0
4179702.12,1799.0,-12803882.45,-16983584.57,6064.0,515.0
10893.68,10.0,-1204163.79,-1215057.47,619.0,516.0
6570.34,8.0,-767534.96,-774105.29,1031.0,517.0
170.66,2.0,-67722.84,-67893.49,99.0,517.5
5290.4,8.0,-723192.28,-728482.69,353.0,518.0
27248.42,12.0,-1016183.86,-1043432.27,1143.0,519.0
18124206.64,6834.0,-18140788.93,-36264995.57,12456.0,520.0
318561.85,90.0,-1975111.91,-2293673.76,977.0,521.0
112150.84,85.0,-2235052.69,-2347203.52,1597.0,522.0
14932.59,21.0,-995079.13,-1010011.72,848.0,522.5
904886.31,340.0,-1536890.26,-2441776.57,593.0,523.0
293048.46,107.0,-5545393.83,-5838442.29,1085.0,524.0
11436654.81,3719.0,-19039304.0,-30475958.81,8444.0,525.0
1052989.13,179.0,-3961202.82,-5014191.95,1209.0,526.0
1221002.06,204.0,-5445445.05,-6666447.11,1156.0,527.0
808151.59,130.0,-2842282.77,-3650434.36,553.0,527.5
2576198.3,364.0,-5032935.9,-7609134.2,890.0,528.0
5428549.9,524.0,-10161212.81,-15589762.7,1616.0,529.0
38349556.23,6462.0,-47219171.4,-85568727.63,7571.0,530.0
13316738.58,778.0,-17300838.04,-30617576.62,1380.0,531.0
21974339.46,711.0,-106000886.42,-127975225.89,5192.0,532.0
9366457.88,273.0,139399.25,-9227058.63,209.0,532.5
