call_gex,call_oi,net_gex,put_gex,put_oi,strike
13.9,2.0,-3073.02,-3086.92,666.0,185.0
13.03,3.0,-9355.78,-9368.81,1928.0,190.0
8.56,2.0,-2976.58,-2985.14,573.0,195.0
4.1,1.0,-1848.85,-1852.95,358.0,200.0
0.0,0.0,-16.75,-16.75,3.0,205.0
0.0,0.0,-2068.2,-2068.2,268.0,210.0
211.95,8.0,-4967.23,-5179.18,381.0,215.0
370.91,14.0,-10686.38,-11057.29,332.0,220.0
0.0,0.0,-1794.73,-1794.73,60.0,225.0
264.94,5.0,-151638.87,-151903.81,2976.0,230.0
476.89,9.0,-6827.96,-7304.85,352.0,235.0
847.8,21.0,-41329.87,-42177.67,1919.0,240.0
191.74,7.0,-19128.81,-19320.54,458.0,245.0
2808.33,56.0,-48197.84,-51006.17,2856.0,250.0
635.85,22.0,-13558.43,-14194.28,285.0,255.0
486.08,31.0,-53772.95,-54259.03,831.0,260.0
476.89,18.0,-36481.78,-36958.67,599.0,265.0
423.9,12.0,-13776.71,-14200.61,329.0,270.0
264.94,5.0,-14651.0,-14915.93,418.0,275.0
13008.39,191.0,-9246.29,-22254.68,384.0,280.0
635.85,11.0,-31818.9,-32454.74,876.0,285.0
1563.13,38.0,-45701.58,-47264.7,1440.0,290.0
423.9,6.0,-84700.26,-85124.15,1051.0,295.0
3762.1,63.0,-64061.69,-67823.79,1399.0,300.0
1112.73,22.0,-46178.46,-47291.2,543.0,305.0
8027.58,85.0,-67823.79,-75851.37,1167.0,310.0
3841.58,44.0,-39369.59,-43211.17,576.0,315.0
1271.7,15.0,-86607.8,-87879.5,1433.0,320.0
13087.87,193.0,-231232.03,-244319.9,3706.0,325.0
1033.25,12.0,-481090.49,-482123.74,4986.0,330.0
1298.19,13.0,-59195.57,-60493.75,3366.0,335.0
15472.3,171.0,-125720.2,-141192.51,2051.0,340.0
18095.18,188.0,-41562.64,-59657.82,517.0,345.0
77176.05,947.0,-406871.03,-484047.09,3668.0,350.0
4503.92,31.0,-81855.27,-86359.19,570.0,355.0
81706.47,729.0,-115127.64,-196834.11,1374.0,360.0
32507.73,224.0,-103253.74,-135761.47,891.0,365.0
49993.55,330.0,-336313.82,-386307.37,2958.0,370.0
135859.53,816.0,-178629.65,-314489.18,1994.0,375.0
82209.85,411.0,-994517.13,-1076726.98,5317.0,380.0
